,author_id,public_metrics,text,created_at,id
28,144581964,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 16, 'quote_count': 1}","@HeavyMental_es @DavidAlayon @Recuenco @_miki @GuillermoDeHaro @TheBridge_Tech Recuenco, el héroe que no merecemos, pero el que necesitamos... https://t.co/ajOJwjO5BD",2022-06-28T18:21:52.000Z,1541849377177747456
29,427660452,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}","@GuillermoDeHaro @Mulder01198676 @HeavyMental_es @DavidAlayon @Recuenco @_miki @TheBridge_Tech Jajajaja lo voy a buscar solo para darle laik, errete y suscribirme. 

Puto genio Mulder",2022-06-28T17:07:39.000Z,1541830701863034880
30,317352917,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}","@HeavyMental_es @DavidAlayon @Recuenco @_miki @GuillermoDeHaro @TheBridge_Tech Yo no pude ir...😭😭😭😭😭 Por tema serio.. Felicidades!!!! Os lo merecéis, locos maravillosos de @HeavyMental_es! @_miki, @davidalayon y @Recuenco 👏🏻👏🏻👏🏻👏🏻 la vida es más vida y salvaje mental  gracias a vosotros. 
Esperando merchandising para verano!! https://t.co/gwG9cndOaA",2022-06-28T16:50:57.000Z,1541826498650406913
31,276656109,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}","@didacjo1 @_miki @samuelgil He de decir que luego pusieron cervezas, pero porque se estiraron los de @TheBridge_Tech... para el próximo evento @HeavyMental_es lo del currasco tiene que estar sí o sí https://t.co/euwFxXpDNs",2022-06-28T16:14:57.000Z,1541817440207884288
32,271028835,"{'retweet_count': 3, 'reply_count': 0, 'like_count': 5, 'quote_count': 0}","La empresa de formación de talento y competencias digitales, @TheBridge_Tech , acaba de anunciar una ronda de financiación por un total de 5 millones de euros liderada por Atitlan https://t.co/AProTjb79k",2022-06-28T14:59:31.000Z,1541798453923221508
33,1482505294232043523,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",@HeavyMental_es @DavidAlayon @Recuenco @_miki @GuillermoDeHaro @TheBridge_Tech No os olvidéis de cargar bien la pala que llega la recesión https://t.co/RGJccI8lSY,2022-06-28T13:37:58.000Z,1541777929968967683
34,803255406,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",@GuillermoDeHaro @Mulder01198676 @HeavyMental_es @DavidAlayon @Recuenco @_miki @TheBridge_Tech Siempre se puede firmar el pollo en lugar de la pata. Ya tú sabeh,2022-06-28T13:09:30.000Z,1541770768123658243
35,803255406,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}","@Mulder01198676 @GuillermoDeHaro @HeavyMental_es @DavidAlayon @Recuenco @_miki @TheBridge_Tech Jajaja, eso espero, sí",2022-06-28T13:08:58.000Z,1541770632991764480
36,1493264171705765890,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 5, 'quote_count': 0}",@moquintana @GuillermoDeHaro @HeavyMental_es @DavidAlayon @Recuenco @_miki @TheBridge_Tech Ups!!! Lo siento @moquintana en nada estas haciendo nuevas excursiones por la jungla! 💪🏼😃,2022-06-28T13:08:09.000Z,1541770429097975815
37,803255406,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 4, 'quote_count': 0}",@Mulder01198676 @GuillermoDeHaro @HeavyMental_es @DavidAlayon @Recuenco @_miki @TheBridge_Tech Poca broma con lo de romperse las piernas. ¡Ains!,2022-06-28T13:07:02.000Z,1541770149031809024
